Filename,N_train,Descriptors,R2_train,R2_train_std,RMSE_train,RMSE_train_std,N_CV,Q2_CV,Q2_CV_std,RMSE_CV,RMSE_CV_std,N_External,Q2_External,Q2_External_std,RMSE_External,RMSD_External_std
AtomPairs2DFingerprintCount.csv,861,20,0.9269,0.0000,0.3757,0.0000,861,0.7311,0.0000,0.7205,0.0000,370,0.7257,0.0000,0.5353,0.0000
AtomPairs2DFingerprinter.csv,861,20,0.8493,0.0000,0.5394,0.0000,861,0.6696,0.0000,0.7986,0.0000,370,0.6830,0.0000,0.6185,0.0000
EStateFingerprinter.csv,861,20,0.8657,0.0000,0.5093,0.0000,861,0.6836,0.0000,0.7816,0.0000,370,0.7099,0.0000,0.5660,0.0000
ExtendedFingerprinter.csv,861,20,0.8477,0.0000,0.5423,0.0000,861,0.6896,0.0000,0.7741,0.0000,370,0.6952,0.0000,0.5948,0.0000
Fingerprinter.csv,861,20,0.8382,0.0000,0.5588,0.0000,861,0.6846,0.0000,0.7803,0.0000,370,0.7067,0.0000,0.5724,0.0000
GraphOnlyFingerprinter.csv,861,20,0.7970,0.0000,0.6260,0.0000,861,0.6536,0.0000,0.8178,0.0000,370,0.6355,0.0000,0.7112,0.0000
KlekotaRothFingerprintCount.csv,861,20,0.9115,0.0000,0.4134,0.0000,861,0.7072,0.0000,0.7518,0.0000,370,0.7208,0.0000,0.5449,0.0000
KlekotaRothFingerprinter.csv,861,20,0.8124,0.0000,0.6018,0.0000,861,0.6517,0.0000,0.8200,0.0000,370,0.6939,0.0000,0.5973,0.0000
MACCSFingerprinter.csv,861,20,0.8583,0.0000,0.5231,0.0000,861,0.7328,0.0000,0.7182,0.0000,370,0.7042,0.0000,0.5773,0.0000
PubchemFingerprinter.csv,861,20,0.8357,0.0000,0.5632,0.0000,861,0.7034,0.0000,0.7568,0.0000,370,0.7011,0.0000,0.5833,0.0000
SubstructureFingerprintCount.csv,861,20,0.9416,0.0000,0.3358,0.0000,861,0.7323,0.0000,0.7189,0.0000,370,0.7327,0.0000,0.5216,0.0000
SubstructureFingerprinter.csv,861,20,0.8661,0.0000,0.5084,0.0000,861,0.6868,0.0000,0.7776,0.0000,370,0.6742,0.0000,0.6358,0.0000
